Index,EAFE,GSCI,NAREIT,SP500,US10YR
1999-05-31,3249.295,2306.7,1153.417,4060.82,982.6597756
1999-06-30,3376.725,2389.45,1111.085,3934.02,974.7468871
1999-07-31,3477.87,2557.63,1086.833,3914.55,971.46393
1999-08-31,3491.348,2693.28,1046.385,3807.24,971.9183212
1999-09-30,3527.269,2554.39,1019.386,4048.17,982.5700969
1999-10-31,3660.157,2657.75,997.9609,4130.46,978.641751
1999-11-30,3788.082,2770,1027.917,4373.73,972.004373
1999-12-31,4128.811,2970.29,1031.4091,4153.98,957.8952919
2000-01-31,3867.191,3155.86,1017.948,4075.35,947.1648599
2000-02-29,3972.026,3119.23,1050.948,4474.03,970.3986151
2000-03-31,4126.765,3090.82,1120.168,4339.43,1003.692401
2000-04-30,3910.344,3436.91,1131.8925,4250.4,993.9668804
2000-05-31,3815.607,3681.85,1161.9235,4355.18,994.7515152
2000-06-30,3965.721,3399.09,1260.6588,4287.09,1019.170603
2000-07-31,3800.234,3922.85,1210.6628,4553.38,1023.535501
2000-08-31,3833.998,3869.14,1249.5946,4312.99,1052.577785
2000-09-30,3648.073,3877.86,1196.0182,4294.76,1052.074153
2000-10-31,3562.64,4235.22,1210.2573,3956.16,1059.531213
2000-11-30,3429.802,4147.9,1294.0471,3975.52,1088.032031
2000-12-31,3552.511,3927.75,1312.8831,4116.57,1123.346437
2001-01-31,3550.836,3872.93,1295.8734,3741.22,1122.067341
2001-02-28,3284.896,3721.13,1307.675,3504.21,1150.614081
2001-03-31,3067.401,3920.97,1342.0635,3776.52,1154.43215
2001-04-30,3282.539,3809.28,1376.0632,3801.82,1122.014638
2001-05-31,3169.291,3533.71,1456.5111,3709.29,1120.163278
2001-06-30,3040.863,3542.17,1431.3167,3672.78,1126.087712
2001-07-31,2985.777,3576.03,1479.8011,3442.86,1161.780584
2001-08-31,2910.761,3184.24,1420.4906,3164.84,1186.744792
2001-09-30,2616.596,3023.67,1382.2203,3225.19,1215.099512
2001-10-31,2683.504,2861.28,1456.2135,3472.58,1249.120568
2001-11-30,2782.599,2823.35,1494.6506,3503,1206.392764
2001-12-31,2799.187,2735.26,1500.3391,3451.88,1184.029889
2002-01-31,2650.667,2854.74,1527.4956,3385.31,1189.032415
2002-02-28,2669.387,3239.61,1618.9403,3512.63,1211.758029
2002-03-31,2815.12,3275.47,1640.205,3299.67,1166.699904
2002-04-30,2835.507,3132.95,1663.9088,3275.36,1200.003089
2002-05-31,2873.973,3240.01,1709.4738,3042.05,1207.907417
2002-06-30,2760.641,3258.75,1623.1702,2804.91,1233.862987
2002-07-31,2488.321,3455.83,1622.7761,2823.33,1273.298638
2002-08-31,2483.262,3613.65,1558.6429,2516.49,1316.325836
2002-09-30,2217.192,3443.14,1487.4316,2737.98,1376.720239
2002-10-31,2336.528,3435.66,1554.8138,2899.14,1347.018538
2002-11-30,2442.872,3728.76,1572.6052,2728.82,1319.843067
2002-12-31,2360.913,4064.02,1528.7379,2657.33,1366.896372
2003-01-31,2262.53,4556.68,1553.5037,2617.46,1352.269362
2003-02-28,2210.81,3900.01,1585.6215,2642.88,1389.277224
2003-03-31,2169.029,3660.66,1661.2593,2860.57,1379.836081
